video,p_base,p_e18
exact-r2__d002e5583f41453bb83d542e6e3c5c3cb84670c8__蘑菇力__v1292__bubble__eaf7d752__c0.mp4,0.412702,0.351623
exact-r1__fa895dd3bc8c19e16913e0bfdac80c37eee8f48d__爆炸菇（爆炸前）__v1580__bubble__5076be28__c0.mp4,0.077996,0.166371
exact-r1__d8ebb40a2bf7371ffc294d56cd2cf23f8c8e7ae7__炸虾菇__v1354__flag__e2ba55a4__c0.mp4,0.298635,0.310123
exact-r2__5309b5b3623be09af91500fec7ff1ea85ea1fd9e__吐司菇__v519__coffee__4483e077__c0.mp4,0.133883,0.180023
base-noprop__33159c17b1b4cc97be3acad43a606bfdc0461807__爆炸菇（爆炸前）__v0__16f6b2cf__c0.mp4,0.099748,0.162557
base-noprop__55b63d472e9f15d5bcd1f672b7144ce1726da2f2__爆炸菇（爆炸前）__v0__59d095a4__c0.mp4,0.240498,0.308929
exact-r1__ef3bed0365ebd4b143e559e9f65fdd3902b7cb46__爆炸菇（爆炸前）__v1501__scooter__163de21a__c0.mp4,0.532765,0.569369
base-noprop__b362aa39df3475305cfa9e011880de6337fbfc66__爆炸菇（爆炸后）__v0__1aa9dadb__c0.mp4,0.051583,0.097646
exact-r2__5e7b79559f6cc44daddac102e8d214b2aa09cd33__炸虾菇__v591__coffee__6014f87c__c0.mp4,0.141062,0.16046
generic__36be73a15cf37206fd7e42ba1a164bb08d4ac477__粽子菇__v192__eyemask__a30556fd__c0.mp4,0.025446,0.096684
base-noprop__51be5b142d9021a3c446702d354fabdf42630fa9__吐司菇__v0__865f9652__c0.mp4,0.083015,0.085088
exact-r1__6fe20e2fef23842efac23fc9d37968e3342aa84b__汉堡菇__v709__coffee__de61ba80__c0.mp4,0.153228,0.193583
base-noprop__7d7630861f0f92a7a3103fc3527dbadc1c0cdc15__爆炸菇（爆炸前）__v0__d33c8c20__c0.mp4,0.122359,0.153367
generic__5fb311357441af70b6b5eaa1482d7a943ed2f0ac__爆炸菇（爆炸前）__v362__flag__46fe29b1__c0.mp4,0.072018,0.130979
exact-r2__f098f956c8048e901cfef55e3a9c2c1ae2f2ea2b__毒蘑菇__v1512__glasses__f866fd2d__c0.mp4,0.252806,0.273059
generic__b2678863871b99530ba9e74fef126b3d90508f99__爆炸菇（爆炸前）__v712__glasses__aeeab5ab__c0.mp4,0.053398,0.108055
exact-r1__bcff16b3ae281c25ac9b572e2d40114a81b50a5b__爆炸菇（爆炸后）__v1180__bubble__54ee6d6e__c0.mp4,0.194435,0.253101
generic__612d49f90c5839a0aeee3644992dde5a2e25df17__爆炸菇（爆炸前）__v370__flag__44b9d3da__c0.mp4,0.098125,0.138779
exact-r2__4691ed1843f8b20fbb9d94d74fa655f6e6d960bb__吐司菇__v447__bubble__317c9c87__c0.mp4,0.095889,0.172142
generic__da845ee71f9cb9c51804ea9e81d440cd088d2805__汉堡菇__v845__bubble__4b8aea7d__c0.mp4,0.172609,0.244994
exact-r2__9044b5fe347fe94eb12e9b0ec747bbc7165f78c0__粽子菇__v896__crown__e3d35b47__c0.mp4,0.709047,0.691399
base-props__b2d3b11f7cc10d19163a3940e12f64f147409d54__粽子菇__v713__flag__5f4b5c50__c0.mp4,0.105841,0.167357
base-noprop__13eda229e23f72de63829ca2a162c20a3b56bf44__吐司菇__v0__64ac0378__c0.mp4,0.150969,0.215247
base-props__30b4282f1742fb0fb6e237b3bacf4fb43522adf0__蘑菇力__v173__crown__17f1e4ea__c0.mp4,0.102517,0.210045
base-props__6347b4fdacef12020e4808533f7022e254119900__吐司菇__v376__glasses__2acf789a__c0.mp4,0.026542,0.13822
exact-r2__6dd3305af84339168c5003d4bf2d991700333485__吐司菇__v699__flag__5a52fed1__c0.mp4,0.289347,0.350088
exact-r2__7595de653201daf792ae964617d76e0bd71d2d72__爆炸菇（爆炸前）__v736__eyemask__52c3ff56__c0.mp4,0.170452,0.258338
exact-r2__923dbea1c7a98f5a1ad632836be7e11ba23c900a__粽子菇__v906__crown__27970c94__c0.mp4,0.075285,0.192722
exact-r2__16eade7b0e21611f64303c64853bbd35f887019e__爆炸菇（爆炸前）__v147__glasses__a5e6108f__c0.mp4,0.167957,0.221935
generic__938e01d47782dafc5547713c187bfbca30a0ae08__爆炸菇（爆炸后）__v589__coffee__38b5420d__c0.mp4,0.091804,0.155567
generic__152077a5b2e9ecb98c83d24bd2c2d3c0ce349e29__炸虾菇__v75__crown__25e13e4c__c0.mp4,0.09595,0.063666
exact-r2__63906d5df56c7aab4ab721f0d0f9233c71af9c5f__爆炸菇（爆炸后）__v626__scooter__3e4bbfb7__c0.mp4,0.063005,0.129515
exact-r2__3439d330fea594468c348215407f915d09361ffb__蘑菇力__v346__scooter__8ffda2ef__c0.mp4,0.079583,0.14856
base-props__9913e00ce076c968bc96c617de2d2d16bf2971d3__毒蘑菇__v622__crown__7885a7b0__c0.mp4,0.309473,0.329799
exact-r1__02eb6b820c7a80e2762b30d738e5e874870367d4__爆炸菇（爆炸后）__v21__eyemask__6453077e__c0.mp4,0.290686,0.361984
exact-r2__b68bd790b0276728d5b0df42061a7a6cb4e51370__毒蘑菇__v1135__crown__27f578bc__c0.mp4,0.211383,0.307829
generic__4f2c68a04c7fdb73063336d8553dc1cd8687e038__汉堡菇__v289__crown__3b0f189a__c0.mp4,0.036202,0.087145
exact-r2__6c56d3daf3ea520dfddd0fa0928d5ae2eebb4661__汉堡菇__v691__coffee__599a3d62__c0.mp4,0.09085,0.194362
base-noprop__08447ead47d19cdf9b918908077ea735b8029732__汉堡菇__v0__096129c7__c0.mp4,0.092221,0.164386
base-noprop__06b0fe368708d4dd8bc44a345d0c8a6765e4dd6e__毒蘑菇__v0__071da0d8__c0.mp4,0.101479,0.134807
base-noprop__19c06779695d253483fe999e0232467a7bbc4669__炸虾菇__v0__3b04dfbf__c0.mp4,0.097148,0.146524
base-noprop__0d8ae407bd2be6cbaf00e2bc407478bbc70e81c2__毒蘑菇__v0__377987ca__c0.mp4,0.049836,0.115491
base-noprop__36eb6a2b312cae414c0f305a4fd633fb23cd8654__吐司菇__v0__c97ca202__c0.mp4,0.217416,0.256177
exact-r1__b50d470f960d4825813995dc5d495f18601920dc__炸虾菇__v1119__bubble__a58b7a00__c0.mp4,0.446755,0.433353
base-props__11126af44460c58b95d533978e0cf55f002fe629__炸虾菇__v66__crown__135b2c59__c0.mp4,0.289026,0.274106
exact-r2__94bc06d5bc92583f73830b10dc04994d67cef4b4__汉堡菇__v926__crown__b9235215__c0.mp4,0.134824,0.209348
exact-r1__924031cbf126b245cf9afc8c24e5945a1e2524ab__粽子菇__v907__crown__f744010f__c0.mp4,0.309134,0.357456
base-props__e011acdfa772be70a370c32cc68bd1d67b47e245__爆炸菇（爆炸后）__v877__scooter__becb1965__c0.mp4,0.07417,0.13755
generic__c3b08e101b5779ce9c44080f96c8fbe863833c5e__炸虾菇__v770__eyemask__e40dbc9b__c0.mp4,0.050405,0.138293
base-noprop__04febc3ea3e866abdf75b3fab9b881e8f80a980a__汉堡菇__v0__ce7851e5__c0.mp4,0.080773,0.129764
base-noprop__3f2b9963b32e8779b33756a182ccea735aad5b89__毒蘑菇__v0__72c317bd__c0.mp4,0.12741,0.160168
generic__50ee01d3a21af2295c697ffe0dcc9d0e2bd3a001__汉堡菇__v299__crown__af1e681c__c0.mp4,0.339353,0.360564
base-noprop__930af50238c37ebaf442e48b5cf1fdd56a6c5adb__粽子菇__v0__f5d08145__c0.mp4,0.074136,0.157052
exact-r1__55c78bf255f3a7b815fa63ec2b487f670c474c05__汉堡菇__v544__scooter__f9fb3109__c0.mp4,0.09743,0.162212
exact-r1__c39c1f9a7737ec2bce1e203f09f772557f7229c4__爆炸菇（爆炸前）__v1223__coffee__4cdd0ec2__c0.mp4,0.401612,0.41761
base-noprop__4d17fcfde00cb2ae6b544f6fb2233f9c5e1c98bb__毒蘑菇__v0__157f185e__c0.mp4,0.353857,0.373731
exact-r2__37cf5b3121da345790097e2efc56911fb8dea3af__粽子菇__v364__flag__fb092b3e__c0.mp4,0.249989,0.326643
base-noprop__b281dc2a1f8e99821ca80a015d7a15c12c8925f9__炸虾菇__v0__a2c78121__c0.mp4,0.038537,0.109761
generic__546296f7917ec182336f629d3d0c02436cb741ca__吐司菇__v315__coffee__948b91c9__c0.mp4,0.006971,0.13267
base-noprop__4cb113661e22673b72a3e13f60cc0f8202bd9de8__吐司菇__v0__e9ee2df5__c0.mp4,0.137877,0.085593
generic__b166561176afda3a52cc9957753e6b2a097c6778__粽子菇__v708__flag__6c9c8153__c0.mp4,0.028364,0.131457
exact-r1__eda6528f2e08aaadb4cc84f8c996eac073cc3a6a__汉堡菇__v1494__bubble__bd0adbc6__c0.mp4,0.117662,0.163646
base-props__068f87e6d8c098db1a68eaff2a959baa9dd07959__粽子菇__v24__coffee__cd2a73a3__c0.mp4,0.243513,0.390428
exact-r2__46fdb8adba853657fade52d259f8ee4cb1b28dde__爆炸菇（爆炸后）__v451__glasses__c87c68d3__c0.mp4,0.397283,0.43695
base-noprop__c884f9c5b1342e1e182de98d0015811298454d88__炸虾菇__v0__189e57f5__c0.mp4,0.541111,0.478148
base-props__567f0abcb0cf6a5bcee6cad1571c9b7164cd9790__蘑菇力__v327__eyemask__70ecb658__c0.mp4,0.042665,0.164713
exact-r1__cf74c350c79d0b0215dc7dda7d44e9eb626b6204__蘑菇力__v1289__bubble__ed3d7cd2__c0.mp4,0.27823,0.39155
base-noprop__4de2aa1e433a559a98b48c7eccf7684f044f0cc9__毒蘑菇__v0__41b5cc15__c0.mp4,0.096284,0.152381
base-noprop__691bb9a71d598e287cbef46044bd6aef8fa79960__粽子菇__v0__b0bc1b99__c0.mp4,0.377689,0.41645
generic__4cb113661e22673b72a3e13f60cc0f8202bd9de8__爆炸菇（爆炸前）__v278__crown__ebb8e940__c0.mp4,0.15464,0.182022
generic__dad4cc0c224921ba2b3e9a82d69f6789dfd1c559__汉堡菇__v847__bubble__069a15c5__c0.mp4,0.215297,0.267713
base-noprop__9ff16bd9837162a31625505a37953b6d7b6f8bcd__爆炸菇（爆炸后）__v0__6c081db1__c0.mp4,0.259268,0.301377
base-noprop__50ee01d3a21af2295c697ffe0dcc9d0e2bd3a001__毒蘑菇__v0__75b7cf35__c0.mp4,0.361385,0.285368
base-props__d424d1f21129cb4f5e1724780bc7368fa90c14e9__炸虾菇__v813__scooter__d1ace2f7__c0.mp4,0.125186,0.122291
exact-r2__5c4b08b050f4083c0288f844c4f063b4c7586eb9__炸虾菇__v582__coffee__677017ce__c0.mp4,0.029917,0.136574
exact-r1__474f385571ae5a110c7956cc929fee320bb370da__爆炸菇（爆炸后）__v454__glasses__cfb81219__c0.mp4,0.386539,0.358481
base-noprop__454fa8dcb586fe5bba7dc4c8fc5beac333fb8f52__蘑菇力__v0__b12715e0__c0.mp4,0.143288,0.182671
generic__558e28ebbd5a1e6d7bade4cd30fc31f3ed07c04a__蘑菇力__v322__eyemask__1cc0cdde__c0.mp4,0.047201,0.143589
base-noprop__07c58fa6b177896d1bf3bafc1798b4388f51e9a6__吐司菇__v0__249899b6__c0.mp4,0.137636,0.161851
exact-r1__929b65b28d7fc5f68d6f799d9d758150e4b1155d__爆炸菇（爆炸前）__v914__flag__3302281d__c0.mp4,0.230929,0.291735
base-noprop__54b808c68379bb80df935fac20da98e5db366a47__吐司菇__v0__f034c0d7__c0.mp4,0.091939,0.160613
base-noprop__3eb6d97760f838a366c3ddc9c5fe31024af3ddd6__爆炸菇（爆炸后）__v0__588452da__c0.mp4,0.044503,0.142993
exact-r2__7d44a2bbd0f494878694a9248530e08a9227affb__炸虾菇__v779__glasses__89eee02e__c0.mp4,0.461676,0.402645
exact-r1__05e26f5e60986d81eb27d3bff555fb6e8b76fd97__粽子菇__v37__coffee__5e8d49dc__c0.mp4,0.133519,0.18575
base-noprop__36cc3b78b61d9039d9d44b967df0005c6e6e6895__汉堡菇__v0__0f68f4e0__c0.mp4,0.232173,0.269545
exact-r1__91c39501adafbba839f83b6334e1af2e954a86dc__粽子菇__v905__crown__2115ef43__c0.mp4,0.425381,0.375672
exact-r1__db92b798e1aadc60fbbe4052b859fdc5d2a7e46f__汉堡菇__v1374__flag__7d619672__c0.mp4,0.07776,0.148358
base-props__b4922b313b5f45658c57e964eec6e061ed1c765b__爆炸菇（爆炸后）__v718__eyemask__c2a091da__c0.mp4,0.378367,0.341885
base-props__558e28ebbd5a1e6d7bade4cd30fc31f3ed07c04a__蘑菇力__v322__eyemask__1cc0cdde__c0.mp4,0.07595,0.208358
exact-r1__7ceede470341c8d14addf43fd499af7151c8d1c0__炸虾菇__v778__glasses__55737115__c0.mp4,0.345824,0.370429
exact-r1__18550aeb254f3fee4e7bf9994a4d3d285dbf113e__蘑菇力__v155__glasses__6c05197a__c0.mp4,0.081832,0.098409
exact-r1__c4b5a3cb49158de742fefc2345a959ab56706aa5__汉堡菇__v1228__glasses__7aa56a66__c0.mp4,0.350763,0.335271
exact-r2__d4b4dc72228046a3528be5b1403d1447c286b9fb__炸虾菇__v1322__crown__384fe161__c0.mp4,0.262524,0.201161
base-noprop__701e58d8fd0b9629cc0d3b9aec0136dcfd79a9f4__炸虾菇__v0__fbd5f3e0__c0.mp4,0.058438,0.155531
exact-r1__6f6f2d7c0707575b6afdd575fae5abf75eec000d__汉堡菇__v706__coffee__a22a6a77__c0.mp4,0.045775,0.09136
exact-r2__f0ded2281369569374226c3d97d3dbf8e365ae0a__毒蘑菇__v1514__glasses__6529c6b9__c0.mp4,0.061985,0.111166
base-props__45467bec2e9b047dee0217f2ce7f25cf3110e190__爆炸菇（爆炸前）__v255__scooter__aa891a52__c0.mp4,0.013361,0.106415
exact-r1__10c0ac04aeb5d2daab305c2cf0c7c468606b21ab__蘑菇力__v100__coffee__edadca69__c0.mp4,0.133541,0.175452
exact-r1__c1fe0f34398dd6713cc94ea5a6ef326f8c54ec0d__爆炸菇（爆炸前）__v1209__coffee__a7f57350__c0.mp4,0.456569,0.426158
base-noprop__6789eb569ba9201716016a5c210359d9e3d43278__粽子菇__v0__ade83f0a__c0.mp4,0.240461,0.322162
exact-r1__2526bb599376b9015ca0eea713a0fb5afae34359__汉堡菇__v236__eyemask__9225dd36__c0.mp4,0.47415,0.49299
exact-r1__f0acf58daf5bb6ba0cded2f57ccf6bb43ceb78e5__毒蘑菇__v1513__glasses__300f23a6__c0.mp4,0.111356,0.161426
exact-r2__f16563383dc7f5abb88446494148bd692e6b4a57__爆炸菇（爆炸前）__v1520__scooter__ad0ffcf2__c0.mp4,0.086541,0.159851
base-props__dfb07d087bbb45ae4ec093956c13cbcc5ca2bb4f__爆炸菇（爆炸后）__v873__flag__0921f662__c0.mp4,0.107474,0.097715
exact-r1__6474718652c3298f3ac628f29426024c3a14fa73__爆炸菇（爆炸后）__v630__scooter__cfbf8e28__c0.mp4,0.042629,0.15911
base-noprop__3832d04a1cb8b144cb27edf994f26444ef4fd338__蘑菇力__v0__f57985eb__c0.mp4,0.044863,0.120744
base-props__ab46352316dd303e2692bf4e35d24794f50ca8f1__汉堡菇__v684__eyemask__f96abc17__c0.mp4,0.25221,0.266324
base-noprop__02649510b01d521437d95658981d30da7d35fe3b__汉堡菇__v0__262e0805__c0.mp4,0.621311,0.517254
exact-r2__46efe225dec2d1e5429fa9bf2a6c0d66fc5cb87e__吐司菇__v450__bubble__2ba3618b__c0.mp4,0.060264,0.164584
exact-r1__53600e19bd030f125b130556b2ab1372a845cf17__吐司菇__v521__coffee__aa14839c__c0.mp4,0.196468,0.297027
generic__b5751664c907d7f8d89a1aa58474e961773ea73a__粽子菇__v722__crown__72c9a4ea__c0.mp4,0.223131,0.27023
base-props__ab46352316dd303e2692bf4e35d24794f50ca8f1__吐司菇__v684__scooter__10c24871__c0.mp4,0.373565,0.348576
exact-r1__16597e08fbe04aa1b1563b4418564d5f7378092e__蘑菇力__v144__glasses__5def49b2__c0.mp4,0.433883,0.390275
exact-r2__c56f18183843ecc10f4a0c80a71cf74a3281b10f__汉堡菇__v1230__glasses__aa624b16__c0.mp4,0.352956,0.314874
exact-r1__c623c242446d6fd4f71cfb5843407de981af5e77__汉堡菇__v1237__glasses__082e1f5e__c0.mp4,0.103877,0.170184
exact-r2__55da22abe11d7537f6c455032f1fb4e7bbd78acf__汉堡菇__v547__scooter__b9c909ae__c0.mp4,0.355881,0.338133
base-noprop__db8692607b532a06def0a9c28e842cfc4dbca1b5__爆炸菇（爆炸前）__v0__619b605f__c0.mp4,0.277844,0.259677
exact-r2__d8ebb40a2bf7371ffc294d56cd2cf23f8c8e7ae7__炸虾菇__v1354__flag__e2ba55a4__c0.mp4,0.179588,0.214584
base-noprop__b362aa39df3475305cfa9e011880de6337fbfc66__爆炸菇（爆炸前）__v0__bdbf3b4f__c0.mp4,0.106932,0.095215
exact-r1__ce89e39196c51aba08cf41d6463ef9d5a4b7cd6d__蘑菇力__v1285__bubble__7e9b6253__c0.mp4,0.395483,0.330087
exact-r1__b4dda76fcb4d5ce0a269d5bda4ab6bd412c2999d__粽子菇__v1117__bubble__f1b925ce__c0.mp4,0.102851,0.179138
exact-r1__1ecebc7f54d7e71e18d80da4cf31f84e2352d630__毒蘑菇__v191__coffee__2aa01e1c__c0.mp4,0.101411,0.182984
exact-r1__91bc629c078edf731cebd1b7daf8cf84bcd0876c__爆炸菇（爆炸前）__v904__flag__c3df8e13__c0.mp4,0.221415,0.280956
exact-r1__f1498f3a3c3245f137f45ef7171fbad768a30f29__爆炸菇（爆炸前）__v1519__scooter__e1358b4e__c0.mp4,0.133942,0.231133
exact-r1__037c5682bf3ce681096350171ef6542110f90174__粽子菇__v23__coffee__0407dc1e__c0.mp4,0.195849,0.235751
base-noprop__55b63d472e9f15d5bcd1f672b7144ce1726da2f2__汉堡菇__v0__f3eb98fe__c0.mp4,0.163422,0.263953
base-noprop__3ab5e095ea7925663c71572cdf310f6c6d4c208d__粽子菇__v0__d2b285ff__c0.mp4,0.20037,0.28185
base-noprop__28a40bdc8031c3ded5a744a31c764d0180862532__汉堡菇__v0__aad8abb6__c0.mp4,0.068325,0.085903
base-props__b166561176afda3a52cc9957753e6b2a097c6778__粽子菇__v708__flag__6c9c8153__c0.mp4,0.065302,0.137695
base-noprop__e245e3cfc41c9b8a7f3e19965bae1bd8876cb0b0__炸虾菇__v0__90094473__c0.mp4,0.102473,0.186673
exact-r1__b5d14e764b870261aa66c7becd1030cb7dd3aff1__炸虾菇__v1127__bubble__35558177__c0.mp4,0.094516,0.145739
exact-r2__3296e3025fe5db65ce1e18e8abd3114afdfdc5da__爆炸菇（爆炸后）__v335__coffee__0714808a__c0.mp4,0.335455,0.341324
base-props__13eda229e23f72de63829ca2a162c20a3b56bf44__吐司菇__v72__bubble__b7a22711__c0.mp4,0.118324,0.151117
base-noprop__16fe9365e7037fa8c4a99e77960da17eca362165__炸虾菇__v0__1e3c4480__c0.mp4,0.144031,0.129462
exact-r2__5374332efc1c0d8835fbbff686d292f356e467e9__吐司菇__v522__coffee__2f4946ce__c0.mp4,0.37621,0.318907
exact-r2__05e26f5e60986d81eb27d3bff555fb6e8b76fd97__粽子菇__v37__coffee__5e8d49dc__c0.mp4,0.084116,0.204218
exact-r1__5a2b80d25bdac954a2b5eea6b09fb441b660473c__炸虾菇__v572__coffee__c14202ca__c0.mp4,0.074388,0.162585
base-noprop__e245e3cfc41c9b8a7f3e19965bae1bd8876cb0b0__爆炸菇（爆炸前）__v0__40be3b2c__c0.mp4,0.118268,0.233379
exact-r1__c2e9ae96e46e8d80f334d387a13cdcd4b79f15cd__爆炸菇（爆炸前）__v1218__coffee__09c07fe3__c0.mp4,0.395353,0.408391
exact-r1__48172f0dfe98550b41a163b5c11c78aa0d297fd9__粽子菇__v459__scooter__53010f1f__c0.mp4,0.274541,0.345543
base-noprop__0eaa401fc0b89ae5782586ac9dd79898a8983222__汉堡菇__v0__9c680cc7__c0.mp4,0.063605,0.145086
base-noprop__7980439f022908b0edafecd558418e07616aeaf7__汉堡菇__v0__0ee32b99__c0.mp4,0.116647,0.156382
exact-r1__2542b9c5635f6f39a49c3380e72384f78fd1c0d8__炸虾菇__v238__eyemask__d9177803__c0.mp4,0.221578,0.311846
exact-r1__747d3ed757b17ee3ce426d2b1db8de235748f40c__爆炸菇（爆炸前）__v732__eyemask__9058c319__c0.mp4,0.447157,0.498961
base-props__abd3eebc0d8afd79024fb49f40a8b92321223c19__汉堡菇__v686__eyemask__ac9a2e26__c0.mp4,0.110973,0.160687
exact-r1__f4dcc4ddd6ed29902730ed3dd92d434381273e1b__蘑菇力__v1544__eyemask__69342e96__c0.mp4,0.167267,0.190382
base-noprop__27feb807011584368c25fbbf65625d279657f562__蘑菇力__v0__f6483797__c0.mp4,0.170259,0.183874
exact-r1__06c6d021fcbe5dc10a2370f9e8a54eb80625959d__爆炸菇（爆炸前）__v43__crown__46f796dd__c0.mp4,0.422928,0.400052
base-props__31b74b126f6fafc4629493be8201689f500ebf47__爆炸菇（爆炸后）__v174__glasses__c872a838__c0.mp4,0.292955,0.288199
base-noprop__0eaa401fc0b89ae5782586ac9dd79898a8983222__粽子菇__v0__f095b3f4__c0.mp4,0.092044,0.138174
exact-r1__481d9ee16b0383918a4b3e6293cda09b3f1d61b8__爆炸菇（爆炸后）__v460__glasses__217712af__c0.mp4,0.391087,0.397879
exact-r2__08bc0b380cf865761826977b4c950791f2b66856__爆炸菇（爆炸前）__v52__crown__f7b25bfe__c0.mp4,0.153402,0.167616
base-noprop__16fe9365e7037fa8c4a99e77960da17eca362165__爆炸菇（爆炸后）__v0__640054da__c0.mp4,0.148918,0.16491
exact-r1__06fa761f552f4726608d396cd74b9485f90f0510__爆炸菇（爆炸前）__v44__crown__bb179f3c__c0.mp4,0.130556,0.215251
base-props__5626b130f196987d62f6d0c5c5db38f271c3a918__蘑菇力__v324__eyemask__8aa782fc__c0.mp4,0.115515,0.137712
base-noprop__570ddf635a3d56fb1f5c3aa1b95e854782191387__爆炸菇（爆炸前）__v0__bc5ddf67__c0.mp4,0.17253,0.272364
generic__567f0abcb0cf6a5bcee6cad1571c9b7164cd9790__蘑菇力__v327__eyemask__70ecb658__c0.mp4,0.083762,0.156748
base-noprop__b362aa39df3475305cfa9e011880de6337fbfc66__炸虾菇__v0__c359489c__c0.mp4,0.032488,0.045053
generic__1a5e9e21aa5ab5837e37e1d632efa039b57aab7f__蘑菇力__v94__coffee__9813a98c__c0.mp4,0.046234,0.155075
exact-r1__b856a1d79624bd047e5d93374c319a973d73e62e__蘑菇力__v1149__crown__12fea823__c0.mp4,0.41201,0.502313
base-props__961bd0e7dc5dec1e77f826ad3f88dc97e2021663__汉堡菇__v606__glasses__ec6f851a__c0.mp4,0.290272,0.193561
base-props__5b25b451ba447539ebbed136a0d3bcf3025f8863__爆炸菇（爆炸前）__v346__bubble__c741a081__c0.mp4,0.092133,0.127827
exact-r2__4b73dcb962cbfd0a121d5292b514c93b57ca1509__毒蘑菇__v481__eyemask__9dd97bcd__c0.mp4,0.095612,0.180929
exact-r1__b6387d6187a3435f57004a2d043d191ad76a9ced__炸虾菇__v1130__bubble__3f98ead1__c0.mp4,0.343644,0.369658
generic__7477a8f5fd3a13dfd6406e169f1243b5549b5cc2__炸虾菇__v452__bubble__e02ebc45__c0.mp4,0.075864,0.129367
exact-r1__b9a30f48e83d3a6f856772d9db5ce9ffdbec4263__蘑菇力__v1156__crown__cbeb6f3f__c0.mp4,0.268225,0.217444
base-props__3ea8cf079e959693153dd04695b6f05e21f1dca3__炸虾菇__v230__flag__575a466d__c0.mp4,0.066453,0.140737
base-props__546296f7917ec182336f629d3d0c02436cb741ca__吐司菇__v315__coffee__948b91c9__c0.mp4,0.029644,0.128288
exact-r1__55da22abe11d7537f6c455032f1fb4e7bbd78acf__汉堡菇__v547__scooter__b9c909ae__c0.mp4,0.45321,0.405133
exact-r2__ed08b2ae756811846b134fba32ac65464ff1469d__汉堡菇__v1485__bubble__44a26c4a__c0.mp4,0.073328,0.140132
generic__deb8dcc91484de67c08304d54dba061741b046a8__爆炸菇（爆炸后）__v870__scooter__b591c40c__c0.mp4,0.121145,0.191338
exact-r1__ba251ea3d223905682930bef46247c2d3538af06__粽子菇__v1161__eyemask__c6bc1f91__c0.mp4,0.374055,0.407194
exact-r2__d36eed25472a949e97ad36dd59ce8359fe0c3013__炸虾菇__v1310__crown__87836f8d__c0.mp4,0.516403,0.423164
exact-r1__c1f249311adad45f3c16099a7e9941c56910a7a1__爆炸菇（爆炸前）__v1208__coffee__eb648246__c0.mp4,0.376142,0.367674
base-noprop__069c5cf6bb44592f056bdb81b4696b1569957312__毒蘑菇__v0__6fc0a54c__c0.mp4,0.208648,0.182438
exact-r2__c345c8555877102cc1df8b6cecd5496eba097b0f__爆炸菇（爆炸前）__v1221__coffee__acd00226__c0.mp4,0.227152,0.296946
base-props__07c58fa6b177896d1bf3bafc1798b4388f51e9a6__粽子菇__v33__coffee__8258b5f3__c0.mp4,0.401507,0.353886
exact-r1__3373ae9e4de4dce88d5624681a41f79ac07484f3__爆炸菇（爆炸后）__v342__coffee__db864254__c0.mp4,0.093517,0.162085
base-noprop__682f7d8fb59392161e4d92c0884afcd19b380053__汉堡菇__v0__64770511__c0.mp4,0.037292,0.157169
exact-r2__95270fa777a6a5cb99054cf707304be40d56acb6__毒蘑菇__v928__bubble__f5d68233__c0.mp4,0.104663,0.162984
generic__11126af44460c58b95d533978e0cf55f002fe629__炸虾菇__v66__crown__135b2c59__c0.mp4,0.267815,0.284357
base-noprop__c884f9c5b1342e1e182de98d0015811298454d88__爆炸菇（爆炸后）__v0__4ffca5e3__c0.mp4,0.518448,0.460002
exact-r1__48527ae6d45c7d5a7ee96a9ad1c1ac0882d24266__爆炸菇（爆炸后）__v461__glasses__456ff117__c0.mp4,0.153681,0.262465
exact-r2__11f34e08a6906e27e7c06d8e53c0abd8b0e6a511__蘑菇力__v105__coffee__81ed7854__c0.mp4,0.037366,0.138695
base-noprop__2236ddd1a25d7ae2e190062eb0a1d6d87088db82__爆炸菇（爆炸前）__v0__63954187__c0.mp4,0.10732,0.156757
base-noprop__3dae41227ff60a4b209b7b13235ac3a5ab6a6106__爆炸菇（爆炸后）__v0__e8aeb1f9__c0.mp4,0.490056,0.481379
base-noprop__11126af44460c58b95d533978e0cf55f002fe629__蘑菇力__v0__2ab802e4__c0.mp4,0.229274,0.284808
exact-r1__3296e3025fe5db65ce1e18e8abd3114afdfdc5da__蘑菇力__v335__scooter__d7fc43bc__c0.mp4,0.152647,0.244528
exact-r2__f142944f6415cf4e140989e4620f7f0f23645f52__毒蘑菇__v1518__glasses__b904a7f8__c0.mp4,0.088911,0.132016
base-noprop__66f41d2f3f0f61298257e508840f1163992f0311__粽子菇__v0__97bb35d4__c0.mp4,0.425262,0.520564
exact-r2__4ad750ed37eb0ade2e0d9bf6801c7c417a005531__毒蘑菇__v478__eyemask__4d71b6ae__c0.mp4,0.392354,0.384034
exact-r1__b7d6465a8b59608365b430ec044d2fd40916aca4__毒蘑菇__v1146__crown__e4c782a0__c0.mp4,0.271932,0.313786
exact-r2__b9d03992ce73a0fe5e4ee03adacf38bbabd0be7f__粽子菇__v1158__eyemask__bc8b377f__c0.mp4,0.02131,0.125008
base-noprop__9ff16bd9837162a31625505a37953b6d7b6f8bcd__汉堡菇__v0__250d3ab9__c0.mp4,0.19048,0.309465
base-noprop__5e06a30f57a1e29064223f472aaad6de9925490a__爆炸菇（爆炸前）__v0__90eaaa81__c0.mp4,0.174686,0.197983
exact-r2__6f6f2d7c0707575b6afdd575fae5abf75eec000d__吐司菇__v706__flag__e18588cd__c0.mp4,0.024097,0.047236
